"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","step-1 navigate https://www.google.com/","","2026-03-14","passed","2026-03-14","","","generated_plan",""
"","1","step-18 describe_action DESCRIBE_TARGET","","2026-03-14","skipped","2026-03-14","","","generated_plan",""
"","1","step-6 assert text=Britannica","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-11 assert DESCRIBE_TARGET","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-12 describe_action DESCRIBE_TARGET","","2026-03-14","skipped","2026-03-14","","","generated_plan",""
"","1","step-9 assert DESCRIBE_TARGET","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-7 assert text=NYC.gov","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-3 submit text=submit","","2026-03-14","passed","2026-03-14","","","generated_plan",""
"","1","step-5 assert text=World population review","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-17 describe_action DESCRIBE_TARGET","","2026-03-14","skipped","2026-03-14","","","generated_plan",""
"","1","step-2 fill text=fill","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-2 fill DESCRIBE_TARGET","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-14 describe_action DESCRIBE_TARGET","","2026-03-14","skipped","2026-03-14","","","generated_plan",""
"","1","step-16 describe_action DESCRIBE_TARGET","","2026-03-14","skipped","2026-03-14","","","generated_plan",""
"","1","step-7 assert text=NYC.gov","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-9 assert DESCRIBE_TARGET","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-15 describe_action DESCRIBE_TARGET","","2026-03-14","skipped","2026-03-14","","","generated_plan",""
"","1","step-1 navigate https://www.google.com/","","2026-03-14","passed","2026-03-14","","","generated_plan",""
"","1","step-4 assert text=Wikipedia","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-2 fill DESCRIBE_TARGET","","2026-03-14","passed","2026-03-14","","","generated_plan",""
"","1","step-8 click text=Wikipedia","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-8 click text=Wikipedia","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-5 assert text=World population review","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-10 wait DESCRIBE_TARGET","","2026-03-14","passed","2026-03-14","","","generated_plan",""
"","1","step-3 submit DESCRIBE_TARGET","","2026-03-14","passed","2026-03-14","","","generated_plan",""
"","1","step-1 navigate https://www.google.com/","","2026-03-14","passed","2026-03-14","","","generated_plan",""
"","1","step-3 submit DESCRIBE_TARGET","","2026-03-14","passed","2026-03-14","","","generated_plan",""
"","1","step-9 assert DESCRIBE_TARGET","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-8 click text=Wikipedia","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-20 describe_action DESCRIBE_TARGET","","2026-03-14","skipped","2026-03-14","","","generated_plan",""
"","1","step-4 assert text=Wikipedia","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-6 assert text=Britannica","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-6 assert text=Britannica","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-19 describe_action DESCRIBE_TARGET","","2026-03-14","skipped","2026-03-14","","","generated_plan",""
"","1","step-5 assert text=World population review","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-4 assert text=Wikipedia","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-7 assert text=NYC.gov","","2026-03-14","failed","2026-03-14","","","generated_plan",""
"","1","step-13 describe_action DESCRIBE_TARGET","","2026-03-14","skipped","2026-03-14","","","generated_plan",""
